Brand,Site,Email,Has Ensuite,Has Studio,Lowest Price,Highest Price,Year Opened,Distance_TCD (Walk),Distance_TCD (Public Transport),Gym?,TV Room?,Other_Info
Yugo,Highfield Park,,y,y,€255.00 ,€364.00 ,2020,35 min,,y,y,
Yugo,Ardcairn House,,y,y,€255.00 ,€320.00 ,2018,25 min,,y,y,
Yugo,Broadstone Hall,,y,n,€208.00 ,€308.00 ,2016,25 min,,y,y,
Yugo,Dominick Place,,y,y,€260.00 ,€283.00 ,2020,20 min,,y,y,
Yugo,Kavanagh Court,,y,y,€272.00 ,€282.00 ,2017,15 min,,y,y,
Yugo,New Mill,,y,y,€272.00 ,€343.00 ,2017,20 min,,y,y,
Yugo,The Tannery,,y,n,€272.00 ,€308.00 ,2018,20 min,,y,y,
Yugo,Brewers Close,,y,y,€275.00 ,€469.00 ,2022,20 min,,y,y,
Aparto,Binary Hub,,y,n,€256.00 ,€287.00 ,2016,25 min,,y,y,
Aparto,The Loom,,y,n,€262.00 ,€277.00 ,2021,25 min,,y,y,
Aparto,Montrose Hall,,y,n,€220.00 ,€320.00 ,2022,1 hr,,y,y,
Aparto,Beckett House,,y,n,€251.00 ,€292.00 ,2018,20 min,,y,y,
Aparto,Dorset Point,,y,n,€231.00 ,€256.00 ,2017,20 min,,y,y,
Fresh,Brickworks,,y,n,€228.00 ,€290.00 ,2018,30 min,,y,y,
Fresh,Highlight Thomas Street,,y,n,€219.00 ,€314.00 ,2018,20 min,,y,y,
Fresh,From Here Cork Street,,y,y,€257.00 ,€392.00 ,2020,25 min,,y,y,
Fresh,Highlight Parkgate Street,,y,n,€230.00 ,€278.00 ,2020,30 min,,y,y,
Fresh,From Here Blackhall Place,,y,n,€223.00 ,€275.00 ,2018,25 min,,y,y,
HeyDay,Carmanhall Crosslane,,y,n,€268.00 ,€335.00 ,2019,15 min,,y,y,
Scape,Aungier Street,,y,y,€279.00 ,€283.00 ,2020,10 min,,y,y,
Liv,LIV Dublin,,y,n,€273.00 ,€279.00 ,2018,15 min,,y,y,
Nido,Ardee Point,,y,y,€265.00 ,€372.00 ,2021,20 min,,y,y,
Mezzino,Highfield House,,y,y,€232.00 ,€264.00 ,2019,40 min,,y,y,
