City,Country,Coordinates
Berlin,Germany,52.659268029150205%2C13.632247513368133%2C52.38947197084979%2C13.188812486631868
Heidelberg
,Germany,49.466135812631755%2C8.780629100375663%2C49.34922418736824%2C8.600950899624339
Jena,Germany,51.06367802915021%2C11.803927023241949%2C50.793881970849796%2C11.375872976758052
Cologne,Germany,51.068228029150205%2C7.1640479616261095%2C50.79843197084979%2C6.735952038373892
Wurzburg,Germany,49.928808029150204%2C10.160179916765%2C49.65901197084979%2C9.742240083235002
Aachen,Germany,50.91153802915021%2C6.296750022586458%2C50.64174197084979%2C5.870089977413541
Dusseldorf,Germany,51.32064522137681%2C6.934109835073865%2C51.12279477862318%2C6.618210164926136
Mannheim,Germany,49.63160802915021%2C8.687248108728332%2C49.36181197084979%2C8.271851891271666
Regensburg,Germany,49.1500280291502%2C12.307291477220023%2C48.88023197084979%2C11.895928522779979
Trier,Germany,49.89054802915021%2C6.848155002383644%2C49.620751970849795%2C6.430544997616357
Vallendar,Germany,50.530758029150206%2C7.835881787921341%2C50.26096197084979%2C7.412658212078657
Marburg,Germany,50.94393802915021%2C8.984167950285345%2C50.674141970849796%2C8.557212049714657
Tübingen,Germany,48.6575580291502%2C9.255894079840541%2C48.387761970849795%2C8.848545920159458
Darmstadt,Germany,50.00656802915021%2C8.859576182397575%2C49.736771970849794%2C8.440963817602428
Munich,Germany,48.27232802915021%2C11.777631242599035%2C48.0025319708498%2C11.373348757400967
Saarbrücken,Germany,49.370298029150206%2C7.188247172902462%2C49.1005019708498%2C6.775052827097538
Bielefeld,Germany,52.07379940874506%2C8.599112215271527%2C51.99286059125494%2C8.467547784728472
Bremen,Germany,53.14710561554677%2C8.927526353646515%2C53.00321438445322%2C8.688013646353484
Konstanz,Germany,47.79522802915021%2C9.376106981171679%2C47.525431970849795%2C8.97553301882832
Stuttgart,Germany,48.86325881749012%2C9.299855329739094%2C48.70138118250988%2C9.054184670260907
Magdeburg,Germany,52.26262802915021%2C11.84889859916099%2C51.9928319708498%2C11.409421400839012
Karlsruhe,Germany,49.07861765496377%2C8.510010848119185%2C48.94012234503623%2C8.298869151880815
Hamburg,Germany,53.710218029150205%2C10.242531120973386%2C53.4404219708498%2C9.788148879026616
Flensburg,Germany,54.9192080291502%2C9.673541953380894%2C54.64941197084979%2C9.205678046619106
Freiburg,Germany,48.130798029150206%2C8.053806150567729%2C47.8610019708498%2C7.650633849432269
Göttingen,Germany,51.6693280291502%2C10.149142752743927%2C51.39953197084979%2C9.715417247256074
Erlangen-Nürnberg,Germany,49.725888029150205%2C11.215929275473187%2C49.45609197084979%2C10.799730724526814
Mainz,Germany,50.119088029150205%2C8.488895370334529%2C49.84929197084979%2C8.069304629665469
Bochum,Germany,51.52211940874506%2C7.281463417301929%2C51.44118059125494%2C7.15149658269807
Frankfurt,Germany,50.2504180291502%2C8.894540264654038%2C49.98062197084979%2C8.47379973534596
Chemnitz,Germany,50.97059802915021%2C13.142819876239141%2C50.7008019708498%2C12.715620123760862
Greifswald,Germany,54.22800802915021%2C13.617877428825201%2C53.958211970849796%2C13.1578425711748
Münster,Germany,52.00282940874506%2C7.691388013931328%2C51.921890591254936%2C7.560031986068672
Poitiers,France,46.718228029150204%2C0.529602936077672%2C46.44843197084979%2C0.13705706392232808
Paris,France,49.0062944330369%2C2.58115183620394%2C48.7005255669631%2C2.116448163796061
Strasbourg,France,48.67385201943347%2C7.881477131517097%2C48.49398798056653%2C7.609582868482902
Toulouse,France,43.739158029150204%2C1.6299623729873145%2C43.46936197084979%2C1.2573776270126855
Bordeaux,France,44.9078890145751%2C-0.48537720031008164%2C44.7729909854249%2C-0.6756227996899183
Dijon,France,47.45156802915021%2C5.215650761619729%2C47.181771970849795%2C4.817689238380271
Lille,France,50.71390881749012%2C3.186186299625589%2C50.55203118250988%2C2.9309737003744116
Limoges,France,45.9664280291502%2C1.4514148744191901%2C45.69663197084979%2C1.06420512558081
Lyon,France,45.815909014575105%2C4.943368200352658%2C45.681010985424905%2C4.750051799647343
Nice,France,43.75708921166009%2C7.340719679532267%2C43.649170788339916%2C7.191440320467733
Rennes,France,48.24687802915021%2C-1.4722488906310665%2C47.977081970849795%2C-1.8763311093689339
Grenoble,France,45.19364960583004%2C5.754936402324108%2C45.13969039416997%2C5.67840359767589
Tours,France,47.51822802915021%2C0.8825622369078705%2C47.2484319708498%2C0.4840977630921294
Orléans,France,48.03778802915021%2C2.105113682115247%2C47.76799197084979%2C1.7026663178847532
Clermont-Ferrand,France,45.95952403886694%2C3.3441797788030723%2C45.59979596113306%2C2.8283802211969276
