Brand,Site,Image_URL,Email,HasEnsuite,HasStudio,HasTwin,LowestPrice,HighestPrice,YearOpened,Distance_TCD(Walk),Distance_TCD(Bike),Distance_TCD(Public_Transport),Gym,TV_Room,Study_Space,Laundry_Room,Cinema_Room,Rooftop_Garden,Balcony,Dishwasher,Stovetop,Cafeteria,Sports_Hall,Fast_WiFi,Disability_Access,District,Flatmates,Other_Info,Outdated
Yugo,Highfield Park,https://yugo.com/resource/image/176552/landscape_ratio4x3/768/576/b035a601b781258f3cf1adf4466137b0/9E79297B2005B4D0D235AB860FDCFF70/dublin-highfield-park-exterior.jpg,highfieldpark@yugo.com,y,y,y,€255.00,€364.00,2020,35 min,11 min,,Gym,TV Room,,,,,,,,,,,,7,,,
Yugo,Ardcairn House,https://yugo.com/resource/blob/173842/35f3cee66cf0477e33e46df7e3aa647f/dublin-ardcairn-house-exterior-1-data.jpg,ardcairnhouse@yugo.com,y,y,n,€255.00,€320.00,2018,25 min,11 min,,Gym,TV Room,,,,,,,,,,,,,,,
Yugo,Broadstone Hall,https://yugo.com/resource/image/174242/landscape_ratio4x3/768/576/fa3451e1a4179a9b9d1b0e9448e77b3b/9AAA669F3A093B76C6ACCD52A5047881/dublin-broadstone-hall-exterior.jpg,broadstonehall@yugo.com,y,n,y,€208.00,€308.00,2016,25 min,10 min,,Gym,TV Room,,,,,,,,,,,,,,,
Yugo,Dominick Place,https://images.squarespace-cdn.com/content/v1/5d271054631aec0001548f14/1602772573283-45L8IGA479T01ODTUO15/DP4.jpg,dominickplace@yugo.com,y,y,y,€260.00,€283.00,2020,20 min,9 min,,Gym,TV Room,Study Space,Laundry Room,Cinema Room,Rooftop Garden,Balcony,Dishwasher,Stovetop,,,Fast Wifi,Disabilty Access,,7,,
Yugo,Kavanagh Court,https://yugo.com/resource/image/174646/landscape_ratio4x3/768/576/656bdce05220e65bbf05b007fba3738/9EDC2F704C25CF21BCCD424B8DBF8FE9/dublin-kavanagh-court-exterior.jpg,kavanaghcourt@yugo.com,y,y,n,€272.00,€282.00,2017,15 min,5 min,,Gym,TV Room,,,,,,,,,,,,,,,
Yugo,New Mill,https://yugo.com/resource/blob/175426/5dbdfa3874e92822e6d5d0ddf0aad4e9/new-mill-courtyard-data.jpg,newmill@yugo.com,y,y,n,€272.00,€343.00,2017,20 min,8 min,,Gym,TV Room,,,,,Balcony,Dishwasher,,,,Fast Wifi,,,,,
Yugo,The Tannery,https://yugo.com/resource/image/175576/landscape_ratio4x3/768/576/da04e7ddb26f39ae7e8866b04a73d7cb/6DE3EC61102F706EDA43891DCC91E9EF/dublin-the-tannery-courtyard.jpg,thetannery@yugo.com,y,n,n,€272.00,€308.00,2018,20 min,8 min,,Gym,TV Room,,,,,,,,,,,,,,,
Yugo,Brewers Close,https://yugo.com/resource/image/393832/landscape_ratio4x3/768/576/32770825ea43d631485eb93e258c6420/D801C1D1D1F869E69707369239A62F85/poddle-point-external-10-.jpg,brewersclose@yugo.com,y,y,n,€275.00,€469.00,2022,20 min,8 min,,Gym,TV Room,,,,,,,,,,,,,,,
Aparto,Binary Hub,https://ak-d.tripcdn.com/images/220s0g00000082wvm330D_R_800_525.jpg,,y,n,n,€256.00,€287.00,2016,25 min,8 min,,Gym,TV Room,,,,,,,,,,,,,,,
Aparto,The Loom,https://apartostudent.com/media/l0cjbc40/loom_gallery_property-790x450-1.jpg,,y,n,n,€262.00,€277.00,2021,25 min,7 min,,Gym,TV Room,,,,,,,,,,,,,,,
